document1,document2,cosine,year1,year2,company1,company2
AES - 2015,ALLY - 2019,0.83550394868737,2015,2019,AES,ALLY
AES - 2016,ALLY - 2019,0.8362819334905,2016,2019,AES,ALLY
AES - 2017,ALLY - 2019,0.88875194250824,2017,2019,AES,ALLY
AES - 2018,ALLY - 2019,0.90922425000303,2018,2019,AES,ALLY
AES - 2019,ALLY - 2019,0.8966162777488,2019,2019,AES,ALLY
AES - 2020,ALLY - 2019,0.88369006933703,2020,2019,AES,ALLY
AES - 2021,ALLY - 2019,0.89400813857833,2021,2019,AES,ALLY
ALLY - 2015,ALLY - 2019,0.78424148836618,2015,2019,ALLY,ALLY
ALLY - 2016,ALLY - 2019,0.84062143399862,2016,2019,ALLY,ALLY
ALLY - 2017,ALLY - 2019,0.96884953488707,2017,2019,ALLY,ALLY
ALLY - 2018,ALLY - 2019,0.99206958544951,2018,2019,ALLY,ALLY
ADS - 2016,ALLY - 2020,0.656251525684,2016,2020,ADS,ALLY
ADS - 2017,ALLY - 2020,0.89921508873307,2017,2020,ADS,ALLY
ADS - 2018,ALLY - 2020,0.92491658194551,2018,2020,ADS,ALLY
ADS - 2019,ALLY - 2020,0.92597168864568,2019,2020,ADS,ALLY
ADS - 2020,ALLY - 2020,0.91931997256767,2020,2020,ADS,ALLY
ADS - 2021,ALLY - 2020,0.91083869402351,2021,2020,ADS,ALLY
AES - 2015,ALLY - 2020,0.82950074550173,2015,2020,AES,ALLY
AES - 2016,ALLY - 2020,0.83289242876985,2016,2020,AES,ALLY
AES - 2017,ALLY - 2020,0.88315892248075,2017,2020,AES,ALLY
AES - 2018,ALLY - 2020,0.90179753557552,2018,2020,AES,ALLY
AES - 2019,ALLY - 2020,0.89238651414435,2019,2020,AES,ALLY
AES - 2020,ALLY - 2020,0.88254386028021,2020,2020,AES,ALLY
AES - 2021,ALLY - 2020,0.89188961085107,2021,2020,AES,ALLY
ALLY - 2015,ALLY - 2020,0.78780868942714,2015,2020,ALLY,ALLY
ALLY - 2016,ALLY - 2020,0.84227057102281,2016,2020,ALLY,ALLY
ALLY - 2017,ALLY - 2020,0.95996057732981,2017,2020,ALLY,ALLY
ALLY - 2018,ALLY - 2020,0.98689399958938,2018,2020,ALLY,ALLY
ALLY - 2019,ALLY - 2020,0.99327812643529,2019,2020,ALLY,ALLY
ADS - 2016,ALLY - 2021,0.64018760122042,2016,2021,ADS,ALLY
ADS - 2017,ALLY - 2021,0.91713412748926,2017,2021,ADS,ALLY
ADS - 2018,ALLY - 2021,0.93804899414919,2018,2021,ADS,ALLY
ADS - 2019,ALLY - 2021,0.93310939738301,2019,2021,ADS,ALLY
ADS - 2020,ALLY - 2021,0.92864531554871,2020,2021,ADS,ALLY
ADS - 2021,ALLY - 2021,0.9418996058271,2021,2021,ADS,ALLY
AES - 2015,ALLY - 2021,0.83284268632965,2015,2021,AES,ALLY
AES - 2016,ALLY - 2021,0.83028104210596,2016,2021,AES,ALLY
AES - 2017,ALLY - 2021,0.87189036189232,2017,2021,AES,ALLY
AES - 2018,ALLY - 2021,0.88431637131749,2018,2021,AES,ALLY
AES - 2019,ALLY - 2021,0.86906491994549,2019,2021,AES,ALLY
AES - 2020,ALLY - 2021,0.8601227668091,2020,2021,AES,ALLY
AES - 2021,ALLY - 2021,0.89634619295682,2021,2021,AES,ALLY
ALLY - 2015,ALLY - 2021,0.77370629215905,2015,2021,ALLY,ALLY
ALLY - 2016,ALLY - 2021,0.83495410612379,2016,2021,ALLY,ALLY
ALLY - 2017,ALLY - 2021,0.96167135518306,2017,2021,ALLY,ALLY
ALLY - 2018,ALLY - 2021,0.97147367287608,2018,2021,ALLY,ALLY
ALLY - 2019,ALLY - 2021,0.97761953907887,2019,2021,ALLY,ALLY
ALLY - 2020,ALLY - 2021,0.97896183416638,2020,2021,ALLY,ALLY
ADS - 2016,AXP - 2015,0.66553574629492,2016,2015,ADS,AXP
ADS - 2017,AXP - 2015,0.93968868433468,2017,2015,ADS,AXP
ADS - 2018,AXP - 2015,0.92390561621785,2018,2015,ADS,AXP
ADS - 2019,AXP - 2015,0.89505088511613,2019,2015,ADS,AXP
ADS - 2020,AXP - 2015,0.86276385511758,2020,2015,ADS,AXP
ADS - 2021,AXP - 2015,0.86120704571815,2021,2015,ADS,AXP
AES - 2015,AXP - 2015,0.84599756682214,2015,2015,AES,AXP
AES - 2016,AXP - 2015,0.83659805421511,2016,2015,AES,AXP
AES - 2017,AXP - 2015,0.84854188859182,2017,2015,AES,AXP
AES - 2018,AXP - 2015,0.83122196103767,2018,2015,AES,AXP
AES - 2019,AXP - 2015,0.80338803146355,2019,2015,AES,AXP
AES - 2020,AXP - 2015,0.77232142789248,2020,2015,AES,AXP
AES - 2021,AXP - 2015,0.80417000231694,2021,2015,AES,AXP
ALLY - 2015,AXP - 2015,0.76429088844826,2015,2015,ALLY,AXP
ALLY - 2016,AXP - 2015,0.83686111399278,2016,2015,ALLY,AXP
ALLY - 2017,AXP - 2015,0.91832797192409,2017,2015,ALLY,AXP
ALLY - 2018,AXP - 2015,0.86428665258709,2018,2015,ALLY,AXP
